Average Linear Utility,Average Maximum Utility,Average Polarized Winner,Least Polarized Winner,Most Blocking Loser,Most Polarized Winner,Nash Product Welfare,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
2.2961466269841266,0.6753480158730159,0.09163169265535545,0.049390896531622784,0.8975,0.10803869501325213,0.8907123741199994,1.4591091304485941,0.10144280707861492,0.0005864428257802519,633964685484769792,MES_ExLR,5,0.001116372162243695
2.5259210317460314,0.8189037698412698,0.112680031165211,0.09904443470912676,0.3825,0.1292739342066079,1.0311033727658991,1.1313000015312205,0.057721231347241726,0.0001899516504120303,585246742722741504,SDV,5,0.060952476744496886
2.6984202380952373,0.6174970238095239,0.11246109395832335,0.09904443470912676,0.755,0.1281792481721697,0.9932434138524929,2.6814762175492826,0.13516693452290354,0.00018110876095670965,585246742722741504,SSQ,5,0.060952476744496886
2.504639880952381,0.8381795634920635,0.12125129152807856,0.10124382335375143,0.4875,0.14855193660286783,1.021886110373292,1.1195488938636222,0.05797070829187428,0.00032920947841649296,585246742722741504,AS,5,0.060952476744496886
2.4842878968253967,0.8331650793650793,0.11869830820527265,0.10124382335375143,0.485,0.1292739342066079,1.0118997895661246,1.1681897102604193,0.05957411910540806,0.00011891545075176624,585246742722741504,STV,5,0.060952476744496886
2.5167863095238094,0.829030753968254,0.11664534592482842,0.09904443470912676,0.385,0.1491005080046951,1.0302970351477125,1.0800669794455287,0.05744457446878985,0.00043307037775050956,585246742722741504,SSS,5,0.060952476744496886
2.6984202380952373,0.6174970238095239,0.11246109395832335,0.09904443470912676,0.7575,0.1281792481721697,0.9932434138524929,2.6814762175492826,0.13516693452290354,0.00018110876095670965,585246742722741504,MES_ExMQ,5,0.060952476744496886
2.6138162698412697,0.6197771825396825,0.11096696428691169,0.09904443470912676,1.0,0.1281792481721697,0.9615133818209949,2.570463437896669,0.1375914822518575,0.00020594159353517146,585246742722741504,MES_ExLR,5,0.060952476744496886
1.897709722222222,0.9064071428571426,0.17816019143438094,0.13982807871796193,0.3325,0.19907188791292696,0.7936314034339864,0.8073303522017604,0.01657993863459822,0.0007933804905771652,1240967788837253888,SDV,5,0.024021135561674845
2.3998839285714286,0.5026378968253968,0.1968042199492052,0.19187508278815008,1.695,0.19907188791292696,0.5971665138629796,4.8957279143388375,0.21616129749237037,8.244166747084642e-6,1240967788837253888,SSQ,5,0.024021135561674845
2.1636432539682535,0.7113357142857142,0.1896493336266899,0.1561006511755736,1.14,0.19907188791292696,0.6956508628650819,2.5320369664296427,0.15347613931115225,0.0003523746983262548,1240967788837253888,AS,5,0.024021135561674845
1.8682999999999996,0.9238297619047616,0.17378196143790275,0.13982807871796193,0.3325,0.19722369038749038,0.7847788723948033,0.7517875335916886,0.016758676705290146,0.0006031483659015413,1240967788837253888,STV,5,0.024021135561674845
1.897709722222222,0.9064071428571426,0.17816019143438094,0.13982807871796193,0.3325,0.19907188791292696,0.7936314034339864,0.8073303522017604,0.01657993863459822,0.0007933804905771652,1240967788837253888,SSS,5,0.024021135561674845
2.0159027777777774,0.6864781746031747,0.16927857942419183,0.13107215641314607,1.38,0.19907188791292696,0.6772758538990896,2.2207028289552624,0.15659596527524913,0.0010207588565395794,1240967788837253888,MES_ExMQ,5,0.024021135561674845
2.2382460317460318,0.49440178571428567,0.17524695323537304,0.14068126944924805,1.695,0.19907188791292696,0.5570837919011619,4.291128601684313,0.20891434961366895,0.0009961130457222568,1240967788837253888,MES_ExLR,5,0.024021135561674845
