Average Polarized Winner,Harmonic Utility,Least Polarized Winner,Linear Utility,LogProduct Utility,Maximin Support,Maximum Utility,Most Blocking Loser,Most Polarized Winner,PreferredToRule,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
0.08975418617873752,0.7593998532106654,0.08112664936634983,1.235575,0.11727361815314942,0.3162249999999998,0.31622500000000003,1.104,0.09634308647379243,0.0,2.6352841447807243,0.13538458055416594,3.0649968503014804e-5,992469238423087360,DRB2,6,0.9717923201683405
0.09114031447436678,0.8569616498027313,0.08378316373464502,1.1042083333333332,0.2325972639509143,0.41982499999999995,0.4672833333333334,0.429,0.09634308647379243,-1.0,1.0504682184842418,0.142354408037352,2.0091080543026067e-5,992469238423087360,DRB3,6,0.9717923201683405
0.08975418617873752,0.7593998532106654,0.08112664936634983,1.235575,0.11727361815314942,0.3162249999999998,0.31622500000000003,1.104,0.09634308647379243,0.0,2.6352841447807243,0.13538458055416594,3.0649968503014804e-5,992469238423087360,DRB4,6,0.9717923201683405
0.08975418617873752,0.7593998532106654,0.08112664936634983,1.235575,0.11727361815314942,0.3162249999999998,0.31622500000000003,1.104,0.09634308647379243,0.0,2.6352841447807243,0.13538458055416594,3.0649968503014804e-5,992469238423087360,EAZ,6,0.9717923201683405
0.09069756207965092,0.8486463976825601,0.08112664936634983,1.164125,0.22295009153611026,0.39728529411764674,0.4698,0.429,0.09634308647379243,0.0,1.5705611816324834,0.14216904452226106,2.908500930109964e-5,992469238423087360,MES_ExLR,6,0.9717923201683405
0.08607224664415537,0.6751657395680138,0.080855987993997,1.047391666666667,0.029781995409928708,0.3325282608695654,0.33418333333333333,1.104,0.09634308647379243,-1.0,2.1498032371046643,0.16312083791895948,3.1697636371048635e-5,992469238423087360,STV,6,0.9717923201683405
0.10247026105645414,0.8785137619159068,0.09962834966094165,1.50505,0.24052416933599563,0.3743108695652173,0.37510000000000004,0.777,0.10519895218442547,0.0,3.07481162553499,0.16101994441665274,3.3629812492480865e-6,1179329301973295360,AS,6,0.22598472491845634
0.10247026105645414,0.8785137619159068,0.09962834966094165,1.50505,0.24052416933599563,0.3743108695652173,0.37510000000000004,0.777,0.10519895218442547,0.0,3.07481162553499,0.16101994441665274,3.3629812492480865e-6,1179329301973295360,DRB1,6,0.22598472491845634
0.10258138708243007,0.849672408425648,0.09976938962536819,1.4724500000000003,0.20972298845284534,0.3466970588235294,0.35458333333333336,0.777,0.10519895218442547,-1.0,3.2052733564004208,0.1560714732366183,3.1005649074118425e-6,1179329301973295360,DRB2,6,0.22598472491845634
0.10247026105645413,0.8785137619159068,0.09962834966094165,1.50505,0.24052416933599563,0.37431086956521725,0.37510000000000004,0.777,0.10519895218442547,-1.0,3.07481162553499,0.16101994441665274,3.3629812492480852e-6,1179329301973295360,DRB3,6,0.22598472491845634
0.10258138708243007,0.849672408425648,0.09976938962536819,1.4724500000000003,0.20972298845284534,0.3466970588235294,0.35458333333333336,0.777,0.10519895218442547,-1.0,3.2052733564004208,0.1560714732366183,3.1005649074118425e-6,1179329301973295360,DRB4,6,0.22598472491845634
0.10229265677977874,0.8450527727250021,0.09976938962536819,1.4549916666666665,0.2052599342015572,0.3492970588235294,0.3614583333333334,0.777,0.10519895218442547,-1.0,3.1478635983964205,0.15847280411038844,3.584568841077912e-6,1179329301973295360,EAZ,6,0.22598472491845634
0.10247026105645414,0.8785137619159068,0.09962834966094165,1.50505,0.24052416933599563,0.3743108695652174,0.37510000000000004,0.777,0.10519895218442547,-1.0,3.07481162553499,0.16101994441665274,3.362981249248086e-6,1179329301973295360,MES_ExLR,6,0.22598472491845634
0.08946944585718786,0.7466533351147586,0.07468496581624144,1.1991500000000002,0.10413041709445894,0.33759178082191793,0.3439,0.777,0.10229920265688396,-1.0,2.4673626810627534,0.1608690578622645,0.00014884893383863563,1179329301973295360,STV,6,0.22598472491845634
